Reference,Value,Footprint,Qty,DNP
"C1,C6,C8",0.47,0805,3,
"C2,C9,C14,C15",1u,0805,4,
"C3,C4,C5,C7,C10,C11,C13,C16,C17,C18,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32",0.1,0603,22,
C12,22u,0805,1,
"C19,C20",12,0306,2,
D1,PESD1CAN,SOT-23,1,
"D2,D3,D4,D5",SMAJ15CA,SMA,4,
"D6,D8,D10,D11,D12",SM712_SOT23,SOT-23,5,
"D7,D9",1N5817,SMA/SMB,2,
"F1,F2,F3,F4,F5,F6",0.5A,1206,6,
"J6,J7,J8,J12,J13,J14",Term_3,3x5mm,6,
J9,Screw_Terminal_01x02,2x5mm,1,
J10,SSI/422,DSUB9,1,
J11,USB_B,USB B,1,
Q1,AO3401,SOT-23,1,
"Q2,Q3,Q5,Q6,Q7",B0505S-1W,,5,
Q4,B0505S-2W,,1,
R1,120,1210,1,
"R2,R3,R4,R5,R6,R7,R8,R9",510,0603,8,
"R10,R14,R16",10k,0603,3,
"R11,R13,R15",22,0603,3,
R12,1k5,0603,1,
R17,330,0603,1,
R18,1k,0603,1,
SW1,SW_DIP_x01,,1,
"SW2,SW3,SW4",SW_Push,,3,
U1,ISO1050DUB,SOP8,1,
U2,MAX3232,SOIC16W,1,
U3,ISO3086,SOIC16W,1,
U4,LM1117MP-3.3,SOT-223-3,1,
U5,USBLC6-2SC6,SOT-23-6,1,
U6,STM32F303RBT6,LQFP64,1,
"U7,U8,U9",ISO3088DW,SOIC16W,3,
"U10,U11,U12,U13",H11L1,DIP-6,4,
Y1,8MHz,HC49-U,1,
